Rank,Grade,Channel name,Video Uploads,Subscribers,Video views,Sentiment
1st,A++ ,Zee TV,82757,18752951,20869786591,neutral
2nd,A++ ,T-Series,12661,61196302,47548839843,neutral
3rd,A++ ,Cocomelon - Nursery Rhymes,373,19238251,9793305082,neutral
4th,A++ ,SET India,27323,31180559,22675948293,neutral
5th,A++ ,WWE,36756,32852346,26273668433,neutral
6th,A++ ,Movieclips,30243,17149705,16618094724,neutral
7th,A++ ,netd müzik,8500,11373567,23898730764,neutral
8th,A++ ,ABS-CBN Entertainment,100147,12149206,17202609850,neutral
9th,A++ ,Ryan ToysReview,1140,16082927,24518098041,neutral
10th,A++ ,Zee Marathi,74607,2841811,2591830307,neutral
11th,A+ ,5-Minute Crafts,2085,33492951,8587520379,neutral
12th,A+ ,Canal KondZilla,822,39409726,19291034467,neutral
13th,A+ ,Like Nastya Vlog,150,7662886,2540099931,neutral
14th,A+ ,Ozuna,50,18824912,8727783225,neutral
15th,A+ ,Wave Music,16119,15899764,10989179147,neutral
16th,A+ ,Ch3Thailand,49239,11569723,9388600275,neutral
17th,A+ ,WORLDSTARHIPHOP,4778,15830098,11102158475,neutral
18th,A+ ,Vlad and Nikita,53,-- ,1428274554,neutral
19th,A+ ,Badabun,3060,23603062,5860444053,neutral
20th,A+ ,WorkpointOfficial,24287,17687229,14022189654,neutral
21st,A+ ,xxxtentacion,48,11593509,2029279311,neutral
22nd,A+ ,Zee Music Company,3403,23440427,11666909155,neutral
23rd,A+ ,SAB TV,19358,11347420,9572788450,neutral
24th,A+ ,DeadloxMC,1833,2137907,245437560,neutral
25th,A+ ,ETV Andhra Pradesh,186194,712562,349096736,neutral
26th,A+ ,Shemaroo Filmi Gaane,5076,14469618,6585569190,neutral
27th,A+ ,ibighit,277,16924523,3437613314,neutral
28th,A+ ,El Reino Infantil,555,15836366,16395683234,neutral
29th,A+ ,Zee Telugu,92250,2902714,2754482753,neutral
30th,A+ ,Kirin AMV's,230,459906,224608044,neutral
31st,A+ ,Zee Bangla,79497,3102246,2867901827,neutral
32nd,A+ ,Stacy Toys,91,5992452,1576070985,neutral
33rd,A+ ,Toys and Colors,127,4746069,2250065105,neutral
34th,A+ ,InfantiLandia,710,7504480,2135402141,neutral
35th,A+ ,Top Breaking News,848,1120620,291002673,positive
36th,A+ ,Colors TV,23504,12466776,8354699608,neutral
37th,A+ ,Goldmines Telefilms,206,14011180,555853544,neutral
38th,A+ ,one31,47805,10878372,7614312491,neutral
39th,A+ ,[토이푸딩] ToyPudding TV,2201,18777612,11920370065,neutral
40th,A+ ,CKN Toys,431,8816598,7498069721,neutral
41st,A+ ,GMA Network,65757,6270681,7373478009,neutral
42nd,A+ ,Zé Neto e Cristiano,102,6154173,3232954352,neutral
43rd,A+ ,Inside Edition,14643,4391875,5542203386,neutral
44th,A+ ,GRAMMY GOLD OFFICIAL,2943,7385239,6480263464,neutral
45th,A+ ,RedeTV,15672,5604245,3317197927,neutral
46th,A+ ,Bouncing Baby TV,30,2869857,493923518,neutral
47th,A+ ,Speed Records,5704,14903053,7823927253,neutral
48th,A+ ,GR6 EXPLODE,2517,16813027,7609346952,neutral
49th,A+ ,Sony Music India,2204,15862389,6738087055,neutral
50th,A+ ,Infobells - Hindi,169,7546139,3919961629,neutral
51st,A+ ,T-Series Apna Punjab,3437,10055513,5384101851,neutral
52nd,A ,T-Series Bhakti Sagar,19447,10796918,4220899885,neutral
53rd,A ,Tips Official,2321,10384600,4589770470,neutral
54th,A ,Ultra Bollywood,10714,10490425,6239740374,neutral
55th,A ,La Granja de Zenón,149,8781935,4473966039,neutral
56th,A ,✿ Kids Diana Show,488,8983362,2492724832,neutral
57th,A ,Boram Tube ToysReview [보람튜브…,136,3052780,849887197,neutral
58th,A ,CVS 3D Rhymes,317,14925769,9454820754,neutral
59th,A ,Maroon5VEVO,111,15720338,10355362290,neutral
60th,A ,الرماس ميوزك,1905,8368289,5172463467,neutral
61st,A ,Pencilmation,348,5283050,2499031601,neutral
62nd,A ,1theK (원더케이),12942,12918410,10657097331,neutral
63rd,A ,Pinkfong! Kids' Songs & Stories,1010,10538694,5761524025,neutral
64th,A ,Ed Sheeran,122,33961184,14521211040,neutral
65th,A ,SonyMusicIndiaVEVO,2958,13215636,6215499269,neutral
66th,A ,Blossom,137,5375332,1251331678,neutral
67th,A ,POPS Kids,3751,5621106,4908451376,neutral
68th,A ,Shemaroo,6466,10846501,4795061785,neutral
69th,A ,Gaane Sune Ansune,1778,9177850,4124067978,neutral
70th,A ,Bolly HD 1080p,250,3832164,1427683110,neutral
71st,A ,Vijay Television,19471,6456081,3686308830,neutral
72nd,A ,DokuzSekiz Müzik,2253,1971613,2559979914,neutral
73rd,A ,FGTeeV,1169,7910214,8437768629,neutral
74th,A ,Erlania e Valentina,543,8900406,2058205665,neutral
75th,A ,Маша и Медведь,568,16638993,16519985673,neutral
76th,A ,Doggy Doggy Play Doh Cartoons,909,9994112,3155585139,neutral
77th,A ,Asianet,31201,3310120,2450108456,neutral
78th,A ,Eros Now,9852,13820875,8651382337,neutral
79th,A ,ChuChu TV Nursery Rhymes & Kids…,254,19641153,15212759916,neutral
80th,A ,Oyuncak Avı,393,3286612,1045924447,neutral
81st,A ,Cauê Moura,487,5184068,518924050,neutral
82nd,A ,Get Movies,2747,20186240,17362242300,neutral
83rd,A ,SMTOWN,3274,15711312,11614803892,neutral
84th,A ,Felipe Neto,1276,25069826,4455604361,neutral
85th,A ,Galinha Pintadinha,47,13312085,9570884138,neutral
86th,A ,YRF,3564,13419831,7280286813,neutral
87th,A ,Dehati India NonVeg Masti,612,4546683,1950903340,neutral
88th,A ,キッズライン♡Kids Line,2712,6421915,5406199624,neutral
89th,A ,LooLoo Kids - Nursery Rhymes and…,481,10813220,4362878210,neutral
90th,A ,Zaz Official,50,649081,242240716,neutral
91st,A ,LazarBeam,959,4791790,1080083584,neutral
